client_id,client_type,date_of_birth,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,age,cluster_id,segment_datadriven,segment_rulebased
C0001,Individual,1968-11-05,F,USA,California,Home,4,True,Website,57,1,Satisfied Established Buyers,First-Time Buyers
C0002,Individual,1962-11-26,M,USA,California,Home,1,False,Website,63,2,At-Risk Established Buyers,First-Time Buyers
C0003,Individual,1959-07-04,M,USA,California,Home,4,True,Agency,67,1,Satisfied Established Buyers,First-Time Buyers
C0004,Individual,1959-11-25,M,USA,California,Home,5,False,Website,66,1,Satisfied Established Buyers,First-Time Buyers
C0005,Company,1976-02-28,M,USA,California,Investment,5,False,Website,50,0,Satisfied Newer Buyers,Corporate Buyers
C0006,Individual,1957-06-03,M,USA,California,Home,3,True,Website,69,2,At-Risk Established Buyers,First-Time Buyers
C0007,Individual,1947-05-24,M,Canada,Quebec,Investment,5,False,Website,79,1,Satisfied Established Buyers,Luxury Investors
C0008,Individual,1969-10-17,F,USA,California,Home,5,False,Website,56,1,Satisfied Established Buyers,First-Time Buyers
C0009,Individual,1975-05-10,M,USA,California,Investment,5,False,Agency,51,0,Satisfied Newer Buyers,Luxury Investors
C0010,Individual,1966-06-17,M,USA,Oregon,Investment,3,False,Agency,60,2,At-Risk Established Buyers,Global Investors
C0011,Individual,1956-06-17,F,USA,California,Home,2,True,Website,70,2,At-Risk Established Buyers,First-Time Buyers
C0012,Company,1975-04-25,M,USA,California,Investment,5,False,Website,51,0,Satisfied Newer Buyers,Corporate Buyers
C0013,Individual,1962-10-08,M,USA,California,Home,1,True,Website,64,2,At-Risk Established Buyers,First-Time Buyers
C0014,Company,1980-10-07,M,USA,California,Home,3,True,Website,45,0,Satisfied Newer Buyers,Corporate Buyers
C0015,Individual,1941-08-19,F,USA,California,Home,5,False,Client,85,1,Satisfied Established Buyers,First-Time Buyers
C0016,Individual,1939-03-09,F,USA,California,Investment,5,False,Website,87,1,Satisfied Established Buyers,Luxury Investors
C0017,Individual,1977-08-01,M,USA,Arizona,Home,3,False,Client,49,0,Satisfied Newer Buyers,First-Time Buyers
C0018,Individual,1967-07-02,M,USA,California,Home,2,True,Agency,59,2,At-Risk Established Buyers,First-Time Buyers
C0019,Individual,1957-09-09,M,USA,California,Home,5,True,Client,69,1,Satisfied Established Buyers,First-Time Buyers
C0020,Individual,1967-10-17,F,USA,California,Home,5,False,Website,58,1,Satisfied Established Buyers,First-Time Buyers
C0021,Individual,1938-09-06,M,USA,Oregon,Investment,3,False,Website,88,2,At-Risk Established Buyers,Global Investors
C0022,Individual,1966-09-14,M,Germany,Berlin,Investment,5,False,Agency,60,1,Satisfied Established Buyers,Luxury Investors
C0023,Individual,1958-06-12,M,USA,California,Home,3,True,Website,68,2,At-Risk Established Buyers,First-Time Buyers
